commands,move,walk,jump,roll,stop,backflip,dance,move forward,dab,spin
starfishbot,0.18691588785046728,0.23404255319148937,0.2318840579710145,0.2857142857142857,0.04878048780487805,0.16666666666666666,0.23529411764705882,0.0,0.5,0.15384615384615385
snakebot,0.14102564102564102,0.43478260869565216,0.2647058823529412,0.25,0.17391304347826086,0.2,0.15384615384615385,0.06666666666666667,0.5,0.0
tablebot,0.45454545454545453,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.2222222222222222,0.125,0.3333333333333333,0.0,0.0
quadruped,0.3333333333333333,0.8571428571428571,0.23076923076923078,0.3333333333333333,0.16666666666666666,0.0,0.0,0.25,0.3333333333333333,0.16666666666666666
spherebot,0.358974358974359,0.25,0.13333333333333333,0.6,0.16666666666666666,0.5,0.0,0.4,1.0,0.3333333333333333
branchbot,0.5172413793103449,0.0,0.1875,0.0,0.5,0.0,0.0,0.2222222222222222,1.0,0.14285714285714285
crabbot,0.25,0.8,0.0,0.5,0.3333333333333333,0.0,0.25,0.5,0.5,0.25
treebot,0.12903225806451613,0.42857142857142855,0.1,0.16666666666666666,0.0,0.0,0.3333333333333333,1.0,0.0,-0.0
twigbot,0.631578947368421,0.2,0.2,0.0,0.0,0.3333333333333333,-0.0,0.0,0.0,0.0
stickbot,0.4444444444444444,0.5,0.058823529411764705,0.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.0
