trials,0,1,2,3,4,5,6,7,8,9
stickbot,0.524603068829,0.476950913668,0.413635134697,0.470960438251,0.524539113045,0.466586142778,0.431560099125,0.449828177691,0.430797696114,0.479283422232
quadruped,0.353087544441,0.45365267992,0.363517463207,0.387929797173,0.351767152548,0.372438102961,0.433939933777,0.434079527855,0.446458637714,0.437633782625
branchbot,0.374913394451,0.49866989255,0.556155741215,0.515587687492,0.474466383457,0.582327067852,0.355073809624,0.689928412437,0.563877940178,0.421037226915
twigbot,0.330572247505,0.368524104357,0.398179680109,0.454179346561,0.512350082397,0.38844782114,0.418698996305,0.445958763361,0.399895071983,0.462006747723
treebot,0.483308970928,0.344574093819,0.380092591047,0.506435632706,0.412625491619,0.508475840092,0.390362292528,0.501183509827,0.422730267048,0.584730923176
snakebot,0.423116803169,0.478083878756,0.466935127974,0.459674090147,0.494173437357,0.432784020901,0.428574562073,0.459913998842,0.41833627224,0.529598534107
tablebot,0.255124151707,0.475720494986,0.42320176959,0.309878468513,0.617884814739,0.520248293877,0.378321707249,0.407942354679,0.475778251886,0.500258266926
starfishbot,0.405332565308,0.457894593477,0.488684743643,0.572189450264,0.568353235722,0.297127634287,0.338493019342,0.518511354923,0.355632722378,0.57864767313
spherebot,0.46650159359,0.389576464891,0.427276074886,0.49608027935,0.459466636181,0.426323771477,0.382706731558,0.507571876049,0.446485459805,0.451210200787
crabbot,0.347861349583,0.496549546719,0.371437460184,0.474166870117,0.404191851616,0.445150673389,0.252963721752,0.538290917873,0.377071350813,0.531428396702
